Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,7.740000,7.840000,7.600000,7.700000,7.555779,26899200
2012-02-02,7.730000,7.810000,7.680000,7.720000,7.575404,20660800
2012-02-03,7.880000,7.970000,7.740000,7.950000,7.801096,15179500
2012-02-06,7.700000,7.880000,7.680000,7.730000,7.585217,32638600
2012-02-07,7.730000,7.920000,7.700000,7.880000,7.732407,20245400
2012-02-08,7.940000,8.230000,7.890000,8.170000,8.016975,42113700
2012-02-09,8.200000,8.200000,7.990000,8.160000,8.007163,27434500
2012-02-10,8.090000,8.110000,7.800000,7.910000,7.761845,26191000
2012-02-13,8.020000,8.020000,7.700000,7.850000,7.702969,24807300
2012-02-14,7.920000,8.360000,7.920000,8.340000,8.183791,41142100
2012-02-15,8.400000,8.550000,8.270000,8.280000,8.124915,33448200
2012-02-16,8.380000,8.500000,8.300000,8.460000,8.301545,18749000
2012-02-17,8.440000,8.580000,8.340000,8.430000,8.272106,18917300
2012-02-21,8.430000,8.460000,8.160000,8.210000,8.056226,18768100
2012-02-22,8.210000,8.240000,8.010000,8.040000,7.889410,19381700
2012-02-23,8.030000,8.030000,7.740000,7.820000,7.673531,31618800
2012-02-24,7.890000,8.070000,7.850000,7.950000,7.801096,17292600
2012-02-27,8.350000,8.790000,8.310000,8.560000,8.399672,59879300
2012-02-28,8.800000,9.160000,8.770000,8.880000,8.713678,71856200
2012-02-29,9.070000,9.100000,8.510000,8.550000,8.389857,48164700
2012-03-01,8.590000,8.840000,8.530000,8.710000,8.546861,33725100
2012-03-02,8.740000,8.910000,8.610000,8.650000,8.487985,24787200
2012-03-05,8.560000,8.590000,8.170000,8.200000,8.046414,30167800
2012-03-06,7.970000,8.040000,7.780000,8.000000,7.850159,37490200
2012-03-07,8.040000,8.250000,7.840000,8.090000,7.938474,32056600
2012-03-08,8.130000,8.240000,8.010000,8.160000,8.007163,18794500
2012-03-09,8.160000,8.360000,8.120000,8.330000,8.173979,25549500
2012-03-12,8.260000,8.300000,8.010000,8.080000,7.928660,19889300
2012-03-13,8.240000,8.500000,8.200000,8.490000,8.330982,31182100
2012-03-14,8.680000,8.850000,8.520000,8.580000,8.419295,34004800
2012-03-15,8.630000,8.890000,8.460000,8.830000,8.664614,34668100
2012-03-16,8.870000,8.890000,8.670000,8.820000,8.654799,33081100
2012-03-19,8.760000,8.800000,8.610000,8.630000,8.468362,26237300
2012-03-20,8.580000,8.630000,8.450000,8.570000,8.409484,18186300
2012-03-21,8.740000,8.980000,8.710000,8.740000,8.576301,30788500
2012-03-22,8.730000,8.770000,8.480000,8.710000,8.546861,33388600
2012-03-23,8.490000,8.610000,8.250000,8.400000,8.242665,47816200
2012-03-26,8.420000,8.440000,8.110000,8.250000,8.095477,35598900
2012-03-27,8.330000,8.650000,8.310000,8.580000,8.419295,39442300
2012-03-28,8.510000,8.750000,8.450000,8.640000,8.478173,35128600
2012-03-29,8.610000,8.760000,8.410000,8.420000,8.262293,45879200
2012-03-30,8.530000,8.540000,8.080000,8.100000,7.948288,50946900
2012-04-02,8.170000,8.250000,7.960000,8.100000,7.948288,27362500
2012-04-03,8.030000,8.090000,7.920000,7.990000,7.840347,26508300
2012-04-04,7.750000,7.800000,7.450000,7.660000,7.516528,52000600
2012-04-05,7.650000,7.780000,7.580000,7.590000,7.447839,19809500
2012-04-09,7.440000,7.470000,7.330000,7.350000,7.212333,17380900
2012-04-10,7.320000,7.420000,7.030000,7.150000,7.016080,23149500
2012-04-11,7.230000,7.430000,7.150000,7.170000,7.035705,22609600
2012-04-12,7.280000,7.550000,7.110000,7.150000,7.016080,57618700
2012-04-13,7.070000,7.100000,6.930000,6.960000,6.829639,97311100
2012-04-16,7.050000,7.200000,6.950000,7.120000,6.986642,56312600
2012-04-17,7.150000,7.330000,7.090000,7.240000,7.104393,40078800
2012-04-18,7.160000,7.230000,7.040000,7.070000,6.937579,28851500
2012-04-19,7.070000,7.310000,6.960000,7.010000,6.878703,31230600
2012-04-20,6.800000,6.840000,6.640000,6.640000,6.515632,50173100
2012-04-23,6.550000,6.750000,6.460000,6.630000,6.505819,35940900
